,year_published,min_players,max_players,play_time,min_age,users_rated,rating_average,bgg_rank,complexity_average,owned_users,children_games,abstract_games,thematic_games,customizable_games,family_games,party_games,strategy_games,wargames
0,2017,1,4,120,14,42.055,8.79,1,3.86,68.323,0,0,1,0,0,0,1,0
1,2015,2,4,60,13,41.643,8.61,2,2.84,65.294,0,0,1,0,0,0,1,0
2,2018,2,4,120,14,19.217,8.66,3,3.91,28.785,0,0,0,0,0,0,1,0
3,2016,1,5,120,12,64.864,8.43,4,3.24,87.099,0,0,0,0,0,0,1,0
4,2017,3,6,480,14,13.468,8.7,5,4.22,16.831,0,0,1,0,0,0,1,0
5,2020,1,4,120,14,8.392,8.87,6,3.55,21.608999999999998,0,0,1,0,0,0,1,0
6,2015,2,4,120,14,23.061,8.43,7,4.41,26.985,0,0,0,0,0,0,1,0
7,2017,1,4,150,12,16.352,8.49,8,4.35,20.312,0,0,0,0,0,0,1,0
8,2016,2,4,240,14,23.081,8.42,9,3.71,34.849,0,0,1,0,0,0,0,0
9,2005,2,2,180,13,40.814,8.29,10,3.59,56.219,0,0,0,0,0,0,1,1
10,2016,2,4,150,12,29.457,8.3,11,3.71,35.804,0,0,0,0,0,0,1,0
11,2012,2,4,180,13,13.725,8.49,12,4.14,22.281,0,0,1,0,0,0,0,1
12,2017,1,4,120,13,25.722,8.35,13,4.01,38.254,0,0,0,0,0,0,1,0
13,2016,1,5,115,14,57.871,8.24,14,3.41,75.64,0,0,0,0,0,0,1,0
14,2011,2,4,90,12,46.507,8.13,15,3.0,63.058,0,0,0,0,0,0,1,0
15,2012,2,5,150,12,39.284,8.14,16,3.96,42.72,0,0,0,0,0,0,1,0
16,2015,2,2,30,10,60.302,8.11,17,2.23,94.343,0,0,0,0,0,0,1,0
17,2013,2,5,100,13,28.105,8.12,18,3.03,32.014,0,0,0,0,0,0,1,0
18,2007,2,4,120,14,19.4,8.17,19,3.86,25.429,0,0,0,0,0,0,1,0
19,2019,1,5,70,10,43.165,8.11,20,2.42,61.775,0,0,0,0,1,0,1,0
20,2016,1,4,120,12,17.377,8.2,21,3.84,22.794,0,0,0,0,0,0,1,0
21,2016,1,2,120,14,28.577,8.17,22,3.44,50.883,0,0,1,1,0,0,0,0
22,2015,1,6,90,13,29.486,8.08,23,2.91,39.747,0,0,0,0,0,0,1,0
23,2018,1,5,180,12,12.29,8.4,24,3.35,17.574,0,0,1,0,0,0,0,0
24,2014,2,4,90,12,22.244,8.09,25,3.05,27.093,0,0,0,0,0,0,1,0
25,2011,1,4,240,14,27.85,8.1,26,4.31,39.421,0,0,1,0,0,0,1,0
26,2018,2,4,90,10,24.412,8.1,27,3.67,37.715,0,0,0,0,0,0,1,1
27,2002,3,5,150,12,63.128,7.99,28,3.28,73.413,0,0,0,0,0,0,1,0
28,2015,2,5,240,14,13.863,8.14,29,4.2,16.413,0,0,0,0,0,0,1,0
29,2013,1,7,210,12,28.123,8.02,30,3.79,35.475,0,0,0,0,0,0,1,0
30,2007,1,5,150,12,63.498,7.94,31,3.64,75.679,0,0,0,0,0,0,1,0
31,2015,2,4,90,14,33.94,8.0,32,2.88,40.664,0,0,0,0,0,0,1,0
32,2016,1,5,180,14,25.116,8.06,33,2.69,39.007,0,0,1,0,0,0,0,0
33,2017,1,4,1000,14,16.868,8.15,34,2.87,30.488,0,0,1,0,0,0,0,0
34,2017,2,4,60,14,12.1,8.15,35,3.25,24.373,0,0,1,0,0,0,1,0
35,2018,1,4,80,13,19.552,8.08,36,2.81,29.225,0,0,0,0,1,0,1,0
36,2019,1,4,120,12,7.645,8.29,37,3.87,12.042,0,0,0,0,0,0,1,0
37,2015,1,4,180,17,7.553,8.66,38,4.25,10.047,0,0,1,0,0,0,0,0
38,2004,2,6,120,12,56.214,7.86,39,3.27,66.489,0,0,0,0,0,0,1,0
39,2012,2,4,90,13,30.79,7.9,40,3.67,35.52,0,0,0,0,0,0,1,0
40,2019,2,5,20,10,15.027,8.02,41,1.99,31.356,0,0,0,0,1,0,1,0
41,2016,2,4,120,14,14.056,8.05,42,2.41,20.196,0,0,1,0,0,0,1,0
42,2018,1,4,150,12,9.979,8.13,43,3.58,13.474,0,0,0,0,0,0,1,0
43,2014,1,5,120,14,20.512,8.02,44,3.3,35.018,0,0,1,0,0,0,0,0
44,2017,1,4,120,12,14.835,8.01,45,3.46,17.634,0,0,0,0,0,0,1,0
45,2017,1,4,120,15,11.585,8.1,46,4.0,15.513,0,0,0,0,0,0,1,0
46,2008,1,5,150,12,26.494,7.87,47,3.74,29.701,0,0,0,0,0,0,1,0
47,2017,1,4,120,12,6.055,8.45,48,3.85,9.087,0,0,1,0,0,0,1,0
48,2006,2,4,120,12,18.004,7.93,49,4.17,17.423,0,0,0,0,0,0,1,0
49,2017,2,4,45,8,53.615,7.83,50,1.77,79.526,0,1,0,0,1,0,0,0
50,2019,1,4,90,14,9.616,8.2,51,2.8,16.713,0,0,0,1,0,0,0,0
51,2011,2,6,180,14,26.165,7.89,52,3.7,26.71,0,0,0,0,0,0,1,0
52,2019,2,4,120,13,3.295,8.79,53,2.7,7.209,0,0,1,0,0,0,0,0
53,2012,2,2,45,14,26.748,7.87,54,3.38,41.315,0,0,0,1,0,0,0,0
54,2012,1,4,120,14,34.179,7.84,55,3.78,52.934,0,0,1,0,0,0,0,0
55,2015,2,4,100,12,20.24,7.87,56,3.19,22.601,0,0,0,0,0,0,1,0
56,2015,1,4,150,13,9.705,8.04,57,4.28,13.057,0,0,0,0,0,0,1,0
57,2019,1,4,120,14,6.5,8.22,58,4.02,8.963,0,0,0,0,0,0,1,0
58,2007,2,4,60,12,46.393,7.76,59,2.98,56.264,0,0,0,0,0,0,1,0
59,2014,1,2,120,13,8.111,8.09,60,3.88,12.561,0,0,0,0,0,0,1,0
60,2010,2,7,30,10,84.371,7.75,61,2.33,112.41,0,0,0,0,1,0,1,0
61,2018,1,4,120,14,12.97,7.95,62,3.77,18.082,0,0,0,0,0,0,1,0
62,2016,2,4,60,12,27.893,7.81,63,2.21,36.265,0,0,0,0,1,0,1,0
63,2018,2,4,45,10,22.327,7.82,64,1.94,34.053,0,0,0,0,1,0,0,0
64,1876,2,4,30,8,12.197,7.91,65,1.25,10.561,0,0,0,0,1,0,0,0
65,2014,2,4,80,13,32.265,7.78,66,2.86,41.676,0,0,0,0,0,0,1,0
66,2010,2,6,240,14,18.018,7.85,67,4.04,19.494,0,0,0,0,0,0,1,0
67,2020,1,4,150,14,5.781,8.3,68,4.63,10.719,0,0,0,0,0,0,1,0
68,2017,1,4,120,12,6.693,8.18,69,4.57,10.212,0,0,0,0,0,0,1,0
69,2016,1,4,60,14,10.899,8.02,70,2.76,16.345,0,0,0,0,0,0,1,0
70,2012,2,5,120,12,45.929,7.75,71,2.46,56.283,0,0,0,0,0,0,1,0
71,2019,1,4,120,12,8.248,8.07,72,3.67,15.192,0,0,0,0,0,0,1,0
72,2012,2,6,120,12,19.003,7.8,73,3.35,22.067,0,0,0,0,0,0,1,0
73,2016,1,4,120,12,9.491,8.04,74,3.5,13.144,0,0,0,0,0,0,1,0
74,2019,1,5,120,13,4.373,8.43,75,3.75,8.538,0,0,0,0,0,0,1,0
75,2019,1,4,120,14,6.134,8.41,76,3.28,12.918,0,0,1,0,0,0,0,0
76,2005,2,5,150,12,26.796,7.77,77,3.8,26.714,0,0,0,0,0,0,1,0
77,2018,1,5,80,12,16.886,7.83,78,2.77,24.145,0,0,0,0,0,0,1,0
78,1995,2,5,120,12,23.545,7.75,79,3.05,22.629,0,0,0,0,0,0,1,0
79,2005,3,6,240,14,18.302,7.84,80,4.25,20.048,0,0,1,0,0,0,1,0
80,2008,3,6,180,14,32.889,7.74,81,3.24,35.758,0,0,1,0,0,0,0,0
81,2013,1,8,240,14,29.347,7.81,82,3.32,43.238,0,0,1,0,0,0,0,0
82,2010,2,4,90,12,18.93,7.76,83,3.46,21.299,0,0,0,0,0,0,1,0
83,2018,3,5,120,14,15.767,7.88,84,3.28,20.763,0,0,0,0,0,0,1,0
84,2009,2,4,30,13,30.118,7.72,85,2.42,43.57,0,0,0,0,0,0,1,0
85,2015,2,4,150,12,10.954,7.88,86,3.9,13.057,0,0,0,0,0,0,1,0
86,2015,2,4,120,12,12.604,7.85,87,3.22,15.014,0,0,0,0,0,0,1,0
87,2019,1,5,120,14,8.822,8.08,88,2.57,15.716,0,0,1,0,0,0,0,0
88,2014,2,2,30,8,46.536,7.66,89,1.64,68.86,0,1,0,0,1,0,0,0
89,2015,2,4,80,12,15.99,7.79,90,2.53,21.145,0,0,0,0,0,0,1,0
90,2013,2,4,120,12,14.845,7.77,91,3.41,14.737,0,0,0,0,0,0,1,0
91,1997,2,4,90,12,25.321,7.7,92,3.51,28.348,0,0,0,0,0,0,1,0
92,2015,2,8,15,14,67.688,7.62,93,1.29,107.682,0,0,0,0,0,1,0,0
93,2014,2,5,45,13,26.421,7.67,94,2.77,32.192,0,0,0,0,0,0,1,0
94,2011,2,4,120,12,14.728,7.76,95,3.65,17.181,0,0,0,0,0,0,1,0
95,2016,2,4,120,12,9.14,7.89,96,3.28,11.494,0,0,0,0,0,0,1,0
96,1982,1,8,120,13,17.236,7.73,97,2.68,32.905,0,0,1,0,0,0,0,0
97,2008,2,4,30,13,78.089,7.62,98,2.36,101.839,0,0,0,0,0,0,1,0
98,2008,2,4,45,8,102.214,7.61,99,2.41,155.312,0,0,0,0,1,0,1,0
99,2016,2,5,45,8,8.359,7.92,100,2.58,14.808,0,0,0,0,0,0,1,0
100,2015,2,4,90,10,13.345,7.77,101,2.59,19.38,0,0,0,0,0,0,1,0
101,2018,3,8,45,12,11.69,7.79,102,1.83,18.89,0,0,0,0,0,1,0,0
102,2012,2,5,120,13,16.277,7.72,103,3.01,18.747,0,0,0,0,0,0,1,0
103,2016,2,4,90,14,8.865,7.85,104,3.27,12.088,0,0,0,0,0,0,1,0
104,2017,2,4,90,12,9.188,7.86,105,2.54,13.715,0,0,0,0,0,0,1,0
105,2015,2,4,180,14,7.516,7.97,106,3.83,11.9,0,0,0,0,0,0,1,0
106,2016,2,4,90,14,12.665,7.8,107,2.88,16.477,0,0,0,0,0,0,1,0
107,2019,1,4,90,8,6.45,8.04,108,2.32,12.36,0,0,0,0,1,0,1,0
108,2012,2,2,45,14,23.061,7.69,109,2.49,38.018,0,0,0,1,0,0,0,1
109,2014,2,4,120,13,18.25,7.67,110,3.9,23.577,0,0,0,0,0,0,1,0
110,2008,2,4,90,10,44.975,7.57,111,2.48,47.743,0,0,0,0,1,0,1,0
111,2014,1,5,60,17,11.251,7.79,112,2.7,16.119,0,0,1,0,0,0,0,0
112,2016,1,4,135,14,4.245,8.21,113,4.05,7.957,0,0,0,0,0,0,1,0
113,2018,2,5,90,13,6.265,8.02,114,2.8,8.879,0,0,0,0,0,0,1,0
114,2014,2,2,20,12,35.947,7.58,115,1.94,52.271,0,0,0,0,0,0,1,0
115,2012,1,5,120,14,22.715,7.69,116,3.2,35.659,0,0,1,0,0,0,0,0
116,2019,1,100,45,10,10.754,7.76,117,1.91,19.32,0,0,0,0,1,0,0,0
117,2019,2,4,60,12,9.719,7.8,118,2.59,13.79,0,0,0,0,0,0,1,0
118,2002,1,6,120,13,8.871,7.78,119,3.9,9.636,0,0,0,0,0,0,1,0
119,2014,2,5,60,10,25.233999999999998,7.58,120,2.58,30.353,0,0,0,0,0,0,1,0
120,2005,2,5,60,8,58.608,7.55,121,1.94,83.075,0,0,0,0,1,0,0,0
121,2014,2,5,120,13,39.287,7.57,122,3.02,53.328,0,0,1,0,0,0,0,0
122,2012,2,2,60,12,14.592,7.64,123,2.35,22.524,0,0,0,0,0,0,1,0
123,2004,2,4,120,12,9.935,7.77,124,3.85,12.793,0,0,1,0,0,0,0,0
124,2009,3,4,120,13,14.297,7.68,125,3.19,14.782,0,0,1,0,0,0,1,0
125,2018,1,100,25,10,17.37,7.61,126,1.82,27.392,0,0,0,0,1,0,0,0
126,2018,1,4,30,8,14.352,7.64,127,1.89,21.684,0,0,0,0,1,0,0,0
127,2015,2,4,180,14,6.665,7.89,128,4.2,9.928,0,0,0,0,0,0,1,0
128,2011,1,2,60,13,20.805,7.65,129,3.17,32.244,0,0,0,1,0,0,0,0
129,2005,2,6,120,10,11.039,7.69,130,3.02,11.902,0,0,0,0,0,0,1,0
130,2012,5,10,30,13,27.134,7.58,131,1.77,38.202,0,0,0,0,0,1,0,0
131,2017,1,4,60,14,3.191,8.41,132,2.91,7.541,0,0,0,0,0,0,1,0
132,2017,1,4,120,8,11.559,7.72,133,3.04,19.263,0,0,0,0,0,0,1,0
133,2019,1,5,60,10,7.275,7.89,134,2.17,14.285,0,0,0,0,1,0,0,0
134,2011,3,6,240,14,28.65,7.6,135,3.72,38.623,0,0,0,0,0,0,1,0
135,2014,1,4,90,13,22.125,7.56,136,2.66,28.039,0,0,0,0,0,0,1,0
136,2020,2,6,200,14,2.556,8.8,137,3.48,5.256,0,0,0,0,0,0,1,0
137,2009,2,2,30,12,37.225,7.51,138,1.49,54.358,0,0,0,0,1,0,0,0
138,2009,2,5,90,12,11.496,7.65,139,3.12,10.985,0,0,0,0,0,0,1,0
139,2004,2,8,60,8,25.72,7.56,140,2.27,33.786,0,0,0,0,0,0,0,1
140,2011,1,4,180,13,9.77,7.71,141,3.9,12.289,0,0,0,0,0,0,1,0
141,2018,1,4,90,14,14.251,7.8,142,2.11,23.966,0,0,1,0,0,0,0,0
142,2006,2,2,60,12,7.987,7.78,143,2.69,10.486,0,0,0,0,0,0,0,1
143,2008,3,5,120,12,27.396,7.54,144,2.57,33.832,0,0,1,0,0,0,1,0
144,2015,2,4,90,12,23.729,7.55,145,2.61,35.092999999999996,0,0,1,0,0,0,0,0
145,2017,1,4,45,14,26.063,7.53,146,1.93,40.258,0,1,0,0,1,0,0,0
146,2014,3,5,180,12,7.357,7.86,147,3.17,11.63,0,0,1,0,0,0,1,0
147,2012,1,4,90,8,21.584,7.52,148,2.78,24.714,0,0,0,0,0,0,1,0
148,2017,1,6,120,18,8.55,7.83,149,3.25,16.05,0,0,1,0,0,0,0,0
149,2019,2,4,45,8,7.039,7.83,150,2.05,12.321,0,1,0,0,1,0,0,0
150,2013,1,5,200,14,11.146,7.64,151,3.54,12.085,0,0,0,0,0,0,1,0
151,2018,1,5,180,16,7.042,7.89,152,2.72,15.633,0,0,1,0,0,0,0,0
152,2017,2,4,120,13,7.245,7.81,153,2.82,15.697,0,0,1,0,0,0,0,0
153,2007,2,3,60,8,11.646,7.64,154,1.98,17.3,0,0,0,0,1,0,0,0
154,2011,2,4,90,12,20.255,7.53,155,3.07,26.348,0,0,0,0,0,0,1,0
155,1999,2,2,480,14,4.539,8.06,156,3.84,8.63,0,0,0,0,0,0,0,1
156,2006,2,2,180,12,5.391,7.94,157,3.25,8.073,0,0,0,0,0,0,0,1
157,1993,2,2,20,13,32.442,7.52,158,3.22,35.625,0,0,0,1,0,0,0,0
158,2016,2,8,60,14,16.007,7.57,159,2.15,21.87,0,0,1,0,0,1,0,0
159,2017,2,4,75,12,8.826,7.7,160,2.86,11.403,0,0,0,0,0,0,1,0
160,2017,2,99,30,11,13.985,7.57,161,1.34,27.538,0,0,0,0,1,0,0,0
161,2011,2,2,180,14,4.38,8.04,162,2.77,7.464,0,0,0,0,0,0,0,1
162,2018,3,7,20,8,11.775,7.6,163,1.05,19.17,0,0,0,0,0,1,0,0
163,2017,2,4,60,10,12.131,7.61,164,1.93,19.173,0,0,0,0,1,0,0,0
164,2015,2,2,20,12,6.075,7.87,165,1.9,14.005,0,0,0,0,0,0,1,0
165,2014,2,4,30,10,58.709,7.45,166,1.8,82.849,0,0,0,0,1,0,0,0
166,2016,2,4,20,8,27.873,7.48,167,1.73,45.672,0,1,0,0,1,0,0,0
167,2014,1,4,120,12,8.756,7.67,168,3.58,11.163,0,0,0,0,0,0,1,0
168,2019,1,5,60,14,6.061,7.88,169,2.27,9.371,0,0,0,0,0,0,1,0
169,2018,2,4,90,14,8.494,7.69,170,3.28,11.634,0,0,0,0,0,0,1,0
170,2019,2,2,60,12,4.438,8.0,171,2.25,8.892,0,0,0,0,0,0,1,0
171,1991,4,4,60,10,13.298,7.58,172,2.34,20.236,0,0,0,0,0,0,1,0
172,-2200,2,2,180,8,14.843,7.64,173,4.0,20.398,0,1,0,0,0,0,0,0
173,2004,2,5,60,8,71.611,7.42,174,1.85,97.463,0,0,0,0,1,0,0,0
174,2020,1,4,120,14,2.86,8.45,175,2.88,5.682,0,0,1,0,0,0,1,0
175,2012,1,5,60,14,19.785,7.57,176,2.44,30.186,0,0,1,0,0,0,0,0
176,1999,2,5,60,12,19.097,7.47,177,2.35,18.46,0,0,0,0,0,0,1,0
177,2000,2,5,45,7,101.853,7.42,178,1.91,149.337,0,0,0,0,1,0,0,0
178,2015,1,6,180,14,12.651,7.68,179,2.51,21.612,0,0,1,0,0,0,0,0
179,2014,2,4,120,12,5.727,7.84,180,4.35,7.923,0,0,0,0,0,0,1,0
180,2014,2,4,60,13,9.152,7.71,181,2.53,14.42,0,0,1,0,0,0,0,0
181,2004,2,4,90,12,10.928,7.58,182,3.38,10.852,0,0,0,0,0,0,1,0
182,2019,1,5,60,10,6.442,7.84,183,2.05,13.549,0,0,1,0,0,0,0,0
183,2000,2,5,100,12,14.555,7.53,184,3.25,15.72,0,0,0,0,0,0,1,0
184,2009,2,5,90,13,17.873,7.52,185,2.83,19.628,0,0,0,0,0,0,1,0
185,2016,5,10,45,13,18.198,7.57,186,1.69,24.77,0,0,0,0,0,1,0,0
186,2019,1,5,120,14,3.99,8.16,187,2.42,7.733,0,0,1,0,0,0,0,0
187,2016,2,8,20,8,22.327,7.46,188,1.32,39.966,0,0,0,0,1,0,0,0
188,2009,3,5,90,10,9.567,7.59,189,3.46,10.386,0,0,0,0,0,0,1,0
189,2003,2,2,60,9,7.342,7.69,190,2.7,9.38,0,1,0,0,0,0,0,0
190,2013,2,6,90,13,10.189,7.59,191,2.93,8.909,0,0,0,0,0,0,1,0
191,2007,2,4,60,10,29.509,7.41,192,2.33,32.651,0,0,1,0,0,0,0,0
192,2014,4,12,20,14,16.001,7.5,193,1.6,23.769,0,0,0,0,0,1,0,0
193,2016,2,4,60,14,5.083,7.89,194,2.57,6.67,0,0,0,0,0,0,1,0
194,2016,1,4,90,10,13.286,7.53,195,2.38,20.0,0,0,0,0,0,0,1,0
